comp_id,bioactivity,data_split,smiles
CHEMBL118449,1,validation,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC1CCN(C(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2)CC1=O
CHEMBL119622,1,test,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCCc1ccccc1
CHEMBL1215628,1,test,CC(C)CN(NC(=O)c1ccc(CN2CCN(C)CC2)cc1)c1nc(C#N)ncc1Br
CHEMBL121801,1,train,CC[C@H](C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(C)CC3)cc2)c1
CHEMBL122043,1,test,CN1CCN(c2ccc(-c3cccc(C(CC4CCC4)C(=O)NCC#N)c3)cc2)CC1
CHEMBL122149,1,train,CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCNCC3)cc2)c1
CHEMBL1224167,1,test,[O-][S+](Cc1ccccc1)SCc1ccccc1
CHEMBL1224169,0,test,[O-][S+](SC1CCCCC1)C1CCCCC1
CHEMBL1224171,1,train,CCCCCCS[S+]([O-])CCCCCC
CHEMBL122513,1,train,CC(C)CC(NC(=O)c1ccccc1)C(=O)NCC#N
CHEMBL122812,1,test,CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(C3CNCCN3)cc2)c1
CHEMBL122879,1,train,CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(CC(C)(C)O)CC3)cc2)c1
CHEMBL123037,1,test,CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(C3=CCNCC3)cc2)c1
CHEMBL123038,1,test,CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(C3CCNCC3)cc2)c1
CHEMBL123199,1,train,CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(C(C)(C)C)CC3)cc2)c1
CHEMBL123200,1,train,CC(=O)CN1CCN(c2ccc(-c3cccc(C(CC(C)C)C(=O)NCC#N)c3)cc2)CC1
CHEMBL123227,1,train,CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(C)CC3)cc2)c1
CHEMBL123291,1,train,CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(CCO)CC3)cc2)c1
